id,text
0,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 1 dish_name: Butter Chicken forecast_qty: 53 sold_qty: 28 percent_sold: 52.8 price_dropped: True reason: Low sales – EOD markdown
1,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 2 dish_name: Tofu Stir Fry forecast_qty: 32 sold_qty: 40 percent_sold: 125.0 price_dropped: True reason: Low sales – EOD markdown
2,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 3 dish_name: Salmon Salad forecast_qty: 55 sold_qty: 38 percent_sold: 69.1 price_dropped: True reason: Low sales – EOD markdown
3,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 4 dish_name: Chicken Teriyaki forecast_qty: 41 sold_qty: 52 percent_sold: 126.8 price_dropped: True reason: Low sales – EOD markdown
4,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 5 dish_name: Spicy Ramen forecast_qty: 50 sold_qty: 29 percent_sold: 58.0 price_dropped: True reason: Low sales – EOD markdown
5,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 6 dish_name: Biryani forecast_qty: 42 sold_qty: 36 percent_sold: 85.7 price_dropped: True reason: Low sales – EOD markdown
6,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 7 dish_name: Bulgogi Bowl forecast_qty: 32 sold_qty: 41 percent_sold: 128.1 price_dropped: True reason: Low sales – EOD markdown
7,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 8 dish_name: Coconut Curry forecast_qty: 54 sold_qty: 36 percent_sold: 66.7 price_dropped: True reason: Low sales – EOD markdown
8,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 9 dish_name: Veg Risotto forecast_qty: 58 sold_qty: 49 percent_sold: 84.5 price_dropped: True reason: Low sales – EOD markdown
9,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 10 dish_name: Paneer Tikka forecast_qty: 34 sold_qty: 46 percent_sold: 135.3 price_dropped: True reason: Low sales – EOD markdown
10,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 1 dish_name: Butter Chicken forecast_qty: 49 sold_qty: 37 percent_sold: 75.5 price_dropped: True reason: Low sales – EOD markdown
11,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 2 dish_name: Tofu Stir Fry forecast_qty: 39 sold_qty: 39 percent_sold: 100.0 price_dropped: True reason: Low sales – EOD markdown
