date,restaurant_id,dish_id,dish_name,order_type,quantity,unit_price,sales
YYYY-00-DD 00:00:SS,1,1,Butter Chicken,Walk-in,13,10.45,122.2
YYYY-00-DD 00:00:SS,1,1,Butter Chicken,Pickup,8,14.77,135.36
YYYY-00-DD 00:00:SS,1,1,Butter Chicken,Online,7,13.9,58.24
YYYY-00-DD 00:00:SS,1,2,Tofu Stir Fry,Walk-in,11,10.33,154.22
YYYY-00-DD 00:00:SS,1,2,Tofu Stir Fry,Pickup,11,15.16,165.11
YYYY-00-DD 00:00:SS,1,2,Tofu Stir Fry,Online,18,10.2,250.02
YYYY-00-DD 00:00:SS,1,3,Salmon Salad,Walk-in,5,15.59,48
YYYY-00-DD 00:00:SS,1,3,Salmon Salad,Pickup,18,11.4,171.9
YYYY-00-DD 00:00:SS,1,3,Salmon Salad,Online,15,9.02,177
YYYY-00-DD 00:00:SS,1,4,Chicken Teriyaki,Walk-in,16,14.04,257.12
YYYY-00-DD 00:00:SS,1,4,Chicken Teriyaki,Pickup,19,13.36,336.87
YYYY-00-DD 00:00:SS,1,4,Chicken Teriyaki,Online,17,8.79,185.81
YYYY-00-DD 00:00:SS,1,5,Spicy Ramen,Walk-in,16,13.77,240.8
YYYY-00-DD 00:00:SS,1,5,Spicy Ramen,Pickup,6,14.61,94.38
YYYY-00-DD 00:00:SS,1,5,Spicy Ramen,Online,7,16.55,116.62
YYYY-00-DD 00:00:SS,1,6,Biryani,Walk-in,13,12.53,212.42
YYYY-00-DD 00:00:SS,1,6,Biryani,Pickup,10,11.7,101
YYYY-00-DD 00:00:SS,1,6,Biryani,Online,13,15.02,192.92
YYYY-00-DD 00:00:SS,1,7,Bulgogi Bowl,Walk-in,10,13.34,104.5
YYYY-00-DD 00:00:SS,1,7,Bulgogi Bowl,Pickup,19,11.79,340.1
YYYY-00-DD 00:00:SS,1,7,Bulgogi Bowl,Online,12,14.85,197.16
YYYY-00-DD 00:00:SS,1,8,Coconut Curry,Walk-in,6,10.29,49.92
YYYY-00-DD 00:00:SS,1,8,Coconut Curry,Pickup,15,12.01,129.9
YYYY-00-DD 00:00:SS,1,8,Coconut Curry,Online,15,10.13,194.85
YYYY-00-DD 00:00:SS,1,9,Veg Risotto,Walk-in,19,9.43,178.6
YYYY-00-DD 00:00:SS,1,9,Veg Risotto,Pickup,13,15.47,159.64
YYYY-00-DD 00:00:SS,1,9,Veg Risotto,Online,17,11.62,305.49
YYYY-00-DD 00:00:SS,1,10,Paneer Tikka,Walk-in,20,8.91,169.4
YYYY-00-DD 00:00:SS,1,10,Paneer Tikka,Pickup,8,9.53,76.8
YYYY-00-DD 00:00:SS,1,10,Paneer Tikka,Online,18,13.96,213.3
YYYY-00-DD 00:00:SS,2,1,Butter Chicken,Walk-in,19,13.29,336.49
YYYY-00-DD 00:00:SS,2,1,Butter Chicken,Pickup,5,14.8,45.75
YYYY-00-DD 00:00:SS,2,1,Butter Chicken,Online,13,15.69,148.2
YYYY-00-DD 00:00:SS,2,2,Tofu Stir Fry,Walk-in,18,9.58,144.54
YYYY-00-DD 00:00:SS,2,2,Tofu Stir Fry,Pickup,13,17.72,203.06
