date,restaurant_id,ingredient_id,ingredient_name,quantity,total_cost,via_zeemart
YYYY-00-DD 00:00:SS,1,4,Broccoli,1.35,18.06,TRUE
YYYY-00-DD 00:00:SS,1,9,Noodles,1.18,11.8,TRUE
YYYY-00-DD 00:00:SS,1,5,Salmon Fillet,2.55,18.54,FALSE
YYYY-00-DD 00:00:SS,1,18,Beef Strips,4.31,97.29,TRUE
YYYY-00-DD 00:00:SS,1,14,Coriander,2.12,18.52,TRUE
YYYY-00-DD 00:00:SS,1,3,Coconut Milk,1.56,30.02,TRUE
YYYY-00-DD 00:00:SS,1,17,Bell Peppers,1.3,32.43,TRUE
YYYY-00-DD 00:00:SS,1,18,Beef Strips,4.09,90.84,TRUE
YYYY-00-DD 00:00:SS,2,18,Beef Strips,1.02,24.09,TRUE
YYYY-00-DD 00:00:SS,2,15,Olive Oil,3.83,95.55,TRUE
YYYY-00-DD 00:00:SS,2,1,Chicken Breast,4.09,43.43,FALSE
YYYY-00-DD 00:00:SS,2,6,Tofu,2.43,34.82,TRUE
YYYY-00-DD 00:00:SS,2,11,Ginger,4.45,50.59,TRUE
YYYY-00-DD 00:00:SS,2,7,Soy Sauce,2.32,12.62,FALSE
YYYY-00-DD 00:00:SS,2,11,Ginger,2.24,24.72,TRUE
YYYY-00-DD 00:00:SS,2,13,Lettuce,3.92,63.3,TRUE
YYYY-00-DD 00:00:SS,3,20,Cheddar Cheese,4.55,106.36,TRUE
YYYY-00-DD 00:00:SS,3,2,Basmati Rice,1.48,10.51,FALSE
YYYY-00-DD 00:00:SS,3,18,Beef Strips,4.04,93.08,TRUE
YYYY-00-DD 00:00:SS,3,13,Lettuce,4.08,64.95,TRUE
YYYY-00-DD 00:00:SS,3,10,Garlic,3.09,55.98,FALSE
YYYY-00-DD 00:00:SS,4,12,Tomatoes,1.1,16.28,TRUE
YYYY-00-DD 00:00:SS,4,3,Coconut Milk,1.13,21.4,TRUE
YYYY-00-DD 00:00:SS,4,8,Chili Paste,2.26,52.45,FALSE
YYYY-00-DD 00:00:SS,4,3,Coconut Milk,4.63,84.32,FALSE
YYYY-00-DD 00:00:SS,4,4,Broccoli,2.64,37.36,TRUE
YYYY-00-DD 00:00:SS,4,15,Olive Oil,1.92,44.85,TRUE
YYYY-00-DD 00:00:SS,4,12,Tomatoes,2.16,32.14,TRUE
YYYY-00-DD 00:00:SS,5,7,Soy Sauce,4.72,27.68,TRUE
YYYY-00-DD 00:00:SS,5,3,Coconut Milk,3.53,68.39,TRUE
YYYY-00-DD 00:00:SS,5,6,Tofu,4.21,60.76,TRUE
YYYY-00-DD 00:00:SS,5,8,Chili Paste,4.57,106.4,TRUE
YYYY-00-DD 00:00:SS,5,13,Lettuce,4.23,70.05,TRUE
YYYY-00-DD 00:00:SS,6,18,Beef Strips,2.27,49.96,TRUE
YYYY-00-DD 00:00:SS,6,11,Ginger,1.91,21.29,FALSE
YYYY-00-DD 00:00:SS,6,2,Basmati Rice,4.27,30.75,TRUE
YYYY-00-DD 00:00:SS,6,2,Basmati Rice,1.03,7.17,FALSE
